Periodo,Cuota_Total,Interes,Amortizacion,Saldo_Pendiente,Anio
1,3169.6188919405363,1768.874270625,1400.7446213155363,84362.85637868446,1
2,3169.6188919405363,1739.983912810367,1429.6349791301693,82933.22139955428,1
3,3169.6188919405363,1710.4976913658072,1459.121200574729,81474.10019897956,1
4,3169.6188919405363,1680.4033166039535,1489.2155753365828,79984.88462364298,1
5,3169.6188919405363,1649.6882453626365,1519.9306465778998,78464.95397706509,2
6,3169.6188919405363,1618.3396757769676,1551.2792161635687,76913.67476090151,2
7,3169.6188919405363,1586.3445419435939,1583.2743499969424,75330.40041090458,2
8,3169.6188919405363,1553.689508474907,1615.9293834656294,73714.47102743895,2
9,3169.6188919405363,1520.3609649409284,1649.257926999608,72065.21310043934,3
10,3169.6188919405363,1486.3450201965616,1683.2738717439747,70381.93922869537,3
11,3169.6188919405363,1451.627496591842,1717.9913953486944,68663.94783334667,3
12,3169.6188919405363,1416.193924062775,1753.4249678777612,66910.52286546891,3
13,3169.6188919405363,1380.0295341002964,1789.58935784024,65120.93350762867,4
14,3169.6188919405363,1343.1192535948414,1826.4996383456948,63294.43386928298,4
15,3169.6188919405363,1305.4476985539616,1864.1711933865747,61430.2626758964,4
16,3169.6188919405363,1266.9991676903635,1902.6197242501728,59527.64295164623,4
17,3169.6188919405363,1227.7576358777035,1941.8612560628328,57585.7816955834,5
18,3169.6188919405363,1187.7067474714077,1981.9121444691286,55603.86955111427,5
19,3169.6188919405363,1146.829809491732,2022.7890824488043,53581.08046866547,5
20,3169.6188919405363,1105.1097846662253,2064.5091072743107,51516.57136139116,5
21,3169.6188919405363,1062.5292843286927,2107.0896076118433,49409.48175377931,6
22,3169.6188919405363,1019.0705611716984,2150.548330768838,47258.93342301047,6
23,3169.6188919405363,974.7155018495911,2194.9033900909453,45064.03003291953,6
24,3169.6188919405363,929.4456194289654,2240.1732725115708,42823.85676040796,6
25,3169.6188919405363,883.2420456834142,2286.376846257122,40537.479914150834,7
26,3169.6188919405363,836.085523229361,2333.533368711175,38203.946545439656,7
27,3169.6188919405363,787.9563974996929,2381.662494440843,35822.28405099882,7
28,3169.6188919405363,738.8346085518506,2430.7842833886857,33391.499767610134,7
29,3169.6188919405363,688.699682706959,2480.919209233577,30910.580558376558,8
30,3169.6188919405363,637.5307240165165,2532.0881679240197,28378.49239045254,8
31,3169.6188919405363,585.3064055530837,2584.3124863874527,25794.179904065088,8
32,3169.6188919405363,532.0049605213425,2637.6139314191937,23156.565972645894,8
33,3169.6188919405363,477.6041731858216,2692.0147187547145,20464.55125389118,9
34,3169.6188919405363,422.0813696115056,2747.5375223290307,17717.013731562147,9
35,3169.6188919405363,365.4134082134693,2804.205483727067,14912.80824783508,9
36,3169.6188919405363,307.57667011159856,2862.0422218289377,12050.766026006142,9
37,3169.6188919405363,248.5470492863767,2921.07184265416,9129.694183351981,10
38,3169.6188919405363,188.29994253163463,2981.3189494089015,6148.375233943079,10
39,3169.6188919405363,126.81023920007601,3042.8086527404603,3105.566581202619,10
40,3169.6188919399233,64.05231073730403,3105.566581202619,0.0,10
